id,Country,Discipline[A3],Discipline[A2],Discipline[A4],Discipline[A1],Discipline[A5],Discipline[other],Gender,CareerStatus,Institution,NPublishedCor,PDepositedCor,CorSomeComparison[A1],CorSomeComparison[A2],CorSomeComparison[A3],CorSomeComparison[A4],CorSomeComparison[A5],CorSomeComparison[A6],CorSomeDeposited[A1],CorSomeDeposited[A2],CorSomeDeposited[A3],CorSomeDeposited[A4],CorSomeDeposited[A5],CorSomeDeposited[A6],CorSomeDeposited[A7],CorSomeDeposited[A8],CorSomeDeposited[A9],CorSomeDeposited[A10],CorSomeDeposited[A11],CorSomeDeposited[A12],CorSomeDeposited[A13],CorAllDeposited[A1],CorAllDeposited[A2],CorAllDeposited[A3],CorAllDeposited[A4],CorAllDeposited[A5],CorAllDeposited[A6],CorAllDeposited[A7],CorAllDeposited[A8],CorAllDeposited[A9],CorAllDeposited[A10],CorAllDeposited[A11],CorAllDeposited[A12],CorAllDeposited[A13],CorSomeNotDeposited[A1],CorSomeNotDeposited[A2],CorSomeNotDeposited[A3],CorSomeNotDeposited[A4],CorSomeNotDeposited[A5],CorSomeNotDeposited[A6],CorSomeNotDeposited[A7],CorSomeNotDeposited[A8],CorSomeNotDeposited[A9],CorNoneNotDeposited[A1],CorNoneNotDeposited[A2],CorNoneNotDeposited[A3],CorNoneNotDeposited[A4],CorNoneNotDeposited[A5],CorNoneNotDeposited[A6],CorNoneNotDeposited[A7],CorNoneNotDeposited[A8],CorNoneNotDeposited[A9],Region
554,United States of America,,,,,,Mathematics,Male,Associate professor,University,11-20,Some of these articles were also deposited as working paper*,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Agree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,Global North
555,Canada,,,,,,Management,Female,Associate professor,University,3-5,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Agree,Disagree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Global North
556,Australia,,,,,,Sociology,Female,Senior lecturer,University,11-20,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Neutral,Disagree,Neutral,Neutral,Strongly disagree,Strongly disagree,Neutral,Neutral,Global North
557,Peru,,,,"General economics, econometrics and finance",,,Male,Professor,University,6-10,Some of these articles were also deposited as working paper*,Disagree,Disagree,Disagree,Agree,Disagree,Neutral,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Neutral,Agree,Disagree,Agree,Disagree,,,,,,,,,,,,,,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,Global South
559,Spain,Economics and econometrics,"Economics, econometrics and finance (miscellaneous)",,,,,Male,Professor,University,21+,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Agree,Neutral,Strongly agree,Neutral,Neutral,Neutral,Neutral,Neutral,Global North
560,Sweden,,,,,,Accounting,Prefer not to say,Associate professor,University,6-10,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Agree,Agree,Neutral,Strongly disagree,Agree,Neutral,Agree,Strongly disagree,Global North
561,France,,,,,,Sociology,Female,Phd student/holder,University,3-5,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Global North
562,New Zealand,Economics and econometrics,,,,,,Male,Professor,University,11-20,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Disagree,Disagree,Neutral,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Global North
563,Colombia,,"Economics, econometrics and finance (miscellaneous)",,"General economics, econometrics and finance",,Health economics,Male,Assistant professor,University,6-10,Some of these articles were also deposited as working paper*,Neutral,Neutral,Agree,Neutral,Agree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,,,,,,,,,,,,,,Neutral,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,Global South
564,France,Economics and econometrics,,,,,"Ecology, evolution, behavior and systematics",Male,Professor,University,11-20,Some of these articles were also deposited as working paper*,Disagree,Disagree,Disagree,Disagree,Agree,Strongly agree,Strongly agree,Agree,Disagree,Strongly agree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Neutral,,,,,,,,,,,,,,Disagree,Disagree,Disagree,Disagree,Agree,Strongly disagree,Strongly disagree,Disagree,Disagree,,,,,,,,,,Global North
565,Czech Republic,Economics and econometrics,,Finance,,,,Female,Business or industry professional,Business or industry,3-5,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Agree,,,,,,,,,,,,,,,,,,,Global North
566,Russian Federation,Economics and econometrics,,,,,,Male,Postdoctoral researcher,Non-university research institution,11-20,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Agree,Agree,Neutral,Disagree,Disagree,Agree,Disagree,Disagree,Global North
567,Poland,,"Economics, econometrics and finance (miscellaneous)",,,,,Male,Associate professor,University,6-10,Some of these articles were also deposited as working paper*,Disagree,Neutral,Neutral,Neutral,Strongly agree,Agree,Neutral,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Neutral,Neutral,Strongly agree,Strongly agree,Agree,Agree,Disagree,,,,,,,,,,,,,,Neutral,Agree,Strongly disagree,Agree,Neutral,Disagree,Neutral,Disagree,Strongly disagree,,,,,,,,,,Global North
570,India,,,,"General economics, econometrics and finance",,,Male,Senior lecturer,Non-university research institution,1-2,Some of these articles were also deposited as working paper*,Disagree,Neutral,Neutral,Disagree,Disagree,Strongly agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Disagree,,,,,,,,,,,,,,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,Global South
571,United States of America,Economics and econometrics,,,,,,Male,Professor,University,11-20,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Neutral,Disagree,Agree,Disagree,Neutral,Neutral,Disagree,Disagree,Global North
572,Nigeria,,,,"General economics, econometrics and finance",,,Male,Phd student/holder,University,11-20,Some of these articles were also deposited as working paper*,Neutral,Neutral,Disagree,Disagree,Agree,Neutral,Strongly agree,Disagree,Disagree,Agree,Disagree,Strongly agree,Neutral,Agree,Strongly agree,Agree,Agree,Agree,Agree,,,,,,,,,,,,,,Disagree,Agree,Neutral,Neutral,Disagree,Disagree,Neutral,Neutral,Disagree,,,,,,,,,,Global South
573,Brazil,Economics and econometrics,,,,,,Male,Postdoctoral researcher,University,11-20,Some of these articles were also deposited as working paper*,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Agree,Strongly agree,Neutral,Neutral,Disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Neutral,,,,,,,,,,,,,,Neutral,Disagree,Disagree,Neutral,Disagree,Disagree,Neutral,Disagree,Disagree,,,,,,,,,,Global South
574,Australia,,,Finance,,,,Male,Associate professor,University,21+,Some of these articles were also deposited as working paper*,Disagree,Strongly disagree,Neutral,Disagree,Disagree,Neutral,Agree,Neutral,Neutral,Disagree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,,,,,,,,,,,,,,Disagree,Disagree,Disagree,Strongly agree,Disagree,Neutral,Disagree,Neutral,Disagree,,,,,,,,,,Global North
575,Norway,,,,,,Environmental and resource economics,Male,Senior researcher,Non-university research institution,11-20,Some of these articles were also deposited as working paper*,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,,,,,,,,,,,,,,Strongly disagree,Agree,Disagree,Neutral,Disagree,Disagree,Agree,Strongly disagree,Strongly disagree,,,,,,,,,,Global North
576,United States of America,Economics and econometrics,,,,,,Female,Assistant professor,University,6-10,Some of these articles were also deposited as working paper*,Disagree,Disagree,Disagree,Strongly disagree,Neutral,Neutral,Agree,Disagree,Disagree,Strongly disagree,Strongly agree,Agree,Disagree,Disagree,Disagree,Neutral,Agree,Disagree,Disagree,,,,,,,,,,,,,,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,Global North
577,Germany,Economics and econometrics,,,,,,Female,Phd student/holder,Non-university research institution,1-2,Some of these articles were also deposited as working paper*,Disagree,Disagree,Disagree,Neutral,Disagree,Agree,Agree,Disagree,Disagree,Agree,Strongly disagree,Agree,Strongly disagree,Neutral,Agree,Agree,Neutral,Agree,Neutral,,,,,,,,,,,,,,Disagree,Agree,Disagree,Agree,Strongly disagree,Strongly disagree,Agree,Neutral,Agree,,,,,,,,,,Global North
579,the United Kingdom of Great Britain and Northern Ireland,Economics and econometrics,,,,,,Male,Assistant professor,University,3-5,Some of these articles were also deposited as working paper*,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,,,,,,,,,,,,,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,,,,,,,,,Global North
580,Germany,Economics and econometrics,,,,,,Male,Professor,University,6-10,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Disagree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Neutral,,,,,,,,,,,,,,,,,,,Global North
581,Switzerland,,,,,,Applied economics,Male,Researcher,University,21+,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Disagree,Disagree,Strongly agree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Global North
582,Germany,Economics and econometrics,"Economics, econometrics and finance (miscellaneous)",Finance,,,,Male,Postdoctoral researcher,University,3-5,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly disagree,Strongly disagree,Agree,Agree,Neutral,Disagree,Agree,Disagree,Agree,Neutral,Disagree,Disagree,,,,,,,,,,,,,,,,,,,Global North
583,Pakistan,,,,,,Management ,Male,Assistant professor,University,6-10,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Agree,Disagree,Disagree,Disagree,Neutral,Neutral,Disagree,Disagree,Global South
585,India,,"Economics, econometrics and finance (miscellaneous)",,,,,Male,Retired,Retired,6-10,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Global South
586,Russian Federation,,,,,, law ,Female,Assistant professor,University,3-5,Some of these articles were also deposited as working paper*,Neutral,Neutral,Neutral,Strongly disagree,Neutral,Strongly agree,Neutral,Disagree,Disagree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Strongly agree,Neutral,Agree,Disagree,,,,,,,,,,,,,,Strongly agree,Agree,Disagree,Neutral,Disagree,Strongly disagree,Strongly disagree,Disagree,Agree,,,,,,,,,,Global North
587,Switzerland,,,,"General economics, econometrics and finance",,,Male,Professor,University,3-5,Some of these articles were also deposited as working paper*,Disagree,Neutral,Neutral,Disagree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Agree,Neutral,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Neutral,,,,,,,,,,,,,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,,,,,,,,,Global North
588,Saudi Arabia,,,,,,Business administration,Male,Associate professor,University,11-20,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Disagree,Strongly disagree,Neutral,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Global South
589,Italy,Economics and econometrics,,,,,,Male,Associate professor,University,3-5,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,,,,,,,,,,,,,,,,,,,Global North
591,Germany,Economics and econometrics,,,,,,Male,Professor,University,3-5,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,,,,,,,,,,,,,,,,,,,Global North
592,the United Kingdom of Great Britain and Northern Ireland,Economics and econometrics,,,,,Innovation and entrepreneurship ,Male,Postdoctoral researcher,University,6-10,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,,,,,,,,,,,,,,,,,,,Global North
593,Zimbabwe,,,,,Prefer not to say,,Male,Associate professor,University,21+,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,,,,,,,,,,,,,,,Global South
594,India,Economics and econometrics,,,,,,Female,Assistant professor,Non-university research institution,3-5,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Agree,Neutral,Neutral,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,,,,,,,,,,,,,,,,,,,Global South
595,Germany,Economics and econometrics,,,,,,Male,Assistant professor,University,11-20,Some of these articles were also deposited as working paper*,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Strongly agree,Neutral,Strongly disagree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,,,,,,,,,,,,,,Disagree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Agree,,,,,,,,,,Global North
596,Portugal,Economics and econometrics,,,"General economics, econometrics and finance",,,Male,Phd student/holder,University,6-10,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Agree,Neutral,Strongly agree,Strongly disagree,Strongly agree,Neutral,Neutral,Neutral,Global North
597,Germany,,,,,Prefer not to say,,Prefer not to say,Postdoctoral researcher,University,21+,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Neutral,Strongly disagree,Agree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Global North
598,Portugal,,,,,,"Mangement, business, marketing, digital economy",Male,Assistant professor,University,21+,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Strongly agree,Agree,Neutral,Strongly disagree,Strongly agree,Neutral,Neutral,Neutral,Global North
599,Portugal,Economics and econometrics,,,,,,Male,Professor,University,6-10,Some of these articles were also deposited as working paper*,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,,,,,,,,,,,,,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,Global North
601,France,Economics and econometrics,,,,,,Female,Researcher,Non-university research institution,6-10,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Global North
602,Greece,Economics and econometrics,,,,,,Male,Professor,University,6-10,Some of these articles were also deposited as working paper*,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Disagree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Strongly agree,Agree,Neutral,Neutral,Agree,,,,,,,,,,,,,,Neutral,Agree,Disagree,Agree,Disagree,Disagree,Neutral,Agree,Neutral,,,,,,,,,,Global North
604,Italy,,"Economics, econometrics and finance (miscellaneous)",,,,,Male,Associate professor,University,3-5,Some of these articles were also deposited as working paper*,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,,,,,,,,,,,,,,Strongly disagree,Neutral,Neutral,Neutral,Neutral,Strongly disagree,Strongly agree,Agree,Strongly disagree,,,,,,,,,,Global North
605,Portugal,,,,,,Law,Female,Associate professor,University,6-10,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Global North
606,Spain,Economics and econometrics,,,,,,Female,Associate professor,University,3-5,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Global North
607,the United Kingdom of Great Britain and Northern Ireland,Economics and econometrics,,,,,,Male,Postdoctoral researcher,University,6-10,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Neutral,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Global North
608,Poland,Economics and econometrics,,,,,Application of statistics,Female,Postdoctoral researcher,University,21+,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Global North
610,Spain,Economics and econometrics,,,,,,Male,Professor,University,21+,Some of these articles were also deposited as working paper*,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Neutral,Agree,Agree,Agree,Agree,Agree,,,,,,,,,,,,,,Strongly disagree,Disagree,Disagree,Neutral,Disagree,Neutral,Disagree,Disagree,Strongly disagree,,,,,,,,,,Global North
611,Sweden,,,,,,Organization studies,Female,Phd student/holder,University,1-2,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Global North
